Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;2022-01-01;1;0;100,0;24;24;0;0;100,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;2022-01-01;2;7;100,0;24;24;0;7;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;2022-01-01;Totalt i retning Dramsvegen nord;7;100,0;24;24;0;7;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;2022-01-01;Totalt i retning Grønnåsen;0;100,0;24;24;0;0;100,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;2022-01-01;Totalt;7;100,0;24;24;0;7;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;2022-01-02;1;0;100,0;24;24;0;0;100,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;2022-01-02;2;5;100,0;24;24;0;5;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;2022-01-02;Totalt i retning Dramsvegen nord;5;100,0;24;24;0;5;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;2022-01-02;Totalt i retning Grønnåsen;0;100,0;24;24;0;0;100,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;2022-01-02;Totalt;5;100,0;24;24;0;5;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-03T00:00+01:00;2022-01-04T00:00+01:00;2022-01-03;1;5;100,0;24;24;0;5;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-03T00:00+01:00;2022-01-04T00:00+01:00;2022-01-03;2;19;100,0;24;24;0;19;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-03T00:00+01:00;2022-01-04T00:00+01:00;2022-01-03;Totalt i retning Dramsvegen nord;19;100,0;24;24;0;19;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-03T00:00+01:00;2022-01-04T00:00+01:00;2022-01-03;Totalt i retning Grønnåsen;5;100,0;24;24;0;5;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-03T00:00+01:00;2022-01-04T00:00+01:00;2022-01-03;Totalt;24;100,0;24;24;0;24;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-04T00:00+01:00;2022-01-05T00:00+01:00;2022-01-04;1;7;100,0;24;24;0;7;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-04T00:00+01:00;2022-01-05T00:00+01:00;2022-01-04;2;33;100,0;24;24;0;33;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-04T00:00+01:00;2022-01-05T00:00+01:00;2022-01-04;Totalt i retning Dramsvegen nord;33;100,0;24;24;0;33;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-04T00:00+01:00;2022-01-05T00:00+01:00;2022-01-04;Totalt i retning Grønnåsen;7;100,0;24;24;0;7;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-04T00:00+01:00;2022-01-05T00:00+01:00;2022-01-04;Totalt;40;100,0;24;24;0;40;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-05T00:00+01:00;2022-01-06T00:00+01:00;2022-01-05;1;8;100,0;24;24;0;8;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-05T00:00+01:00;2022-01-06T00:00+01:00;2022-01-05;2;20;100,0;24;24;0;20;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-05T00:00+01:00;2022-01-06T00:00+01:00;2022-01-05;Totalt i retning Dramsvegen nord;20;100,0;24;24;0;20;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-05T00:00+01:00;2022-01-06T00:00+01:00;2022-01-05;Totalt i retning Grønnåsen;8;100,0;24;24;0;8;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-05T00:00+01:00;2022-01-06T00:00+01:00;2022-01-05;Totalt;28;100,0;24;24;0;28;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-06T00:00+01:00;2022-01-07T00:00+01:00;2022-01-06;1;4;100,0;24;24;0;4;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-06T00:00+01:00;2022-01-07T00:00+01:00;2022-01-06;2;20;100,0;24;24;0;20;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-06T00:00+01:00;2022-01-07T00:00+01:00;2022-01-06;Totalt i retning Dramsvegen nord;20;100,0;24;24;0;20;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-06T00:00+01:00;2022-01-07T00:00+01:00;2022-01-06;Totalt i retning Grønnåsen;4;100,0;24;24;0;4;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-06T00:00+01:00;2022-01-07T00:00+01:00;2022-01-06;Totalt;24;100,0;24;24;0;24;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-07T00:00+01:00;2022-01-08T00:00+01:00;2022-01-07;1;3;100,0;24;24;0;3;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-07T00:00+01:00;2022-01-08T00:00+01:00;2022-01-07;2;21;100,0;24;24;0;21;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-07T00:00+01:00;2022-01-08T00:00+01:00;2022-01-07;Totalt i retning Dramsvegen nord;21;100,0;24;24;0;21;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-07T00:00+01:00;2022-01-08T00:00+01:00;2022-01-07;Totalt i retning Grønnåsen;3;100,0;24;24;0;3;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-07T00:00+01:00;2022-01-08T00:00+01:00;2022-01-07;Totalt;24;100,0;24;24;0;24;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-08T00:00+01:00;2022-01-09T00:00+01:00;2022-01-08;1;6;100,0;24;24;0;6;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-08T00:00+01:00;2022-01-09T00:00+01:00;2022-01-08;2;8;100,0;24;24;0;8;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-08T00:00+01:00;2022-01-09T00:00+01:00;2022-01-08;Totalt i retning Dramsvegen nord;8;100,0;24;24;0;8;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-08T00:00+01:00;2022-01-09T00:00+01:00;2022-01-08;Totalt i retning Grønnåsen;6;100,0;24;24;0;6;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-08T00:00+01:00;2022-01-09T00:00+01:00;2022-01-08;Totalt;14;100,0;24;24;0;14;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-09T00:00+01:00;2022-01-10T00:00+01:00;2022-01-09;1;3;100,0;24;24;0;3;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-09T00:00+01:00;2022-01-10T00:00+01:00;2022-01-09;2;3;100,0;24;24;0;3;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-09T00:00+01:00;2022-01-10T00:00+01:00;2022-01-09;Totalt i retning Dramsvegen nord;3;100,0;24;24;0;3;0,00;-;-;-;-;-;-;-;-
