Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;2022-01-01;1;4490;100,0;24;24;0;0;100,00;4331;159;48;31;80;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;2022-01-01;2;4403;100,0;24;24;0;0;100,00;4248;155;45;30;79;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;2022-01-01;Totalt i retning Kvaløya;4490;100,0;24;24;0;0;100,00;4331;159;48;31;80;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;2022-01-01;Totalt i retning Tromsø;4403;100,0;24;24;0;0;100,00;4248;155;45;30;79;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;2022-01-01;Totalt;8893;100,0;24;24;0;0;100,00;8579;314;93;61;159;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;2022-01-02;1;3906;100,0;24;24;0;0;100,00;3763;143;31;30;81;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;2022-01-02;2;4110;100,0;24;24;0;0;100,00;3960;150;38;32;80;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;2022-01-02;Totalt i retning Kvaløya;3906;100,0;24;24;0;0;100,00;3763;143;31;30;81;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;2022-01-02;Totalt i retning Tromsø;4110;100,0;24;24;0;0;100,00;3960;150;38;32;80;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;2022-01-02;Totalt;8016;100,0;24;24;0;0;100,00;7723;293;69;62;161;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-03T00:00+01:00;2022-01-04T00:00+01:00;2022-01-03;1;7615;100,0;24;24;0;11;99,86;7193;411;110;95;195;11;11;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-03T00:00+01:00;2022-01-04T00:00+01:00;2022-01-03;2;7661;100,0;24;24;0;0;100,00;7255;406;102;97;197;10;10;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-03T00:00+01:00;2022-01-04T00:00+01:00;2022-01-03;Totalt i retning Kvaløya;7631;100,0;24;24;0;11;99,86;7208;412;109;96;196;11;11;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-03T00:00+01:00;2022-01-04T00:00+01:00;2022-01-03;Totalt i retning Tromsø;7645;100,0;24;24;0;0;100,00;7240;405;103;96;196;10;10;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-03T00:00+01:00;2022-01-04T00:00+01:00;2022-01-03;Totalt;15276;100,0;24;24;0;11;99,93;14448;817;212;192;392;21;21;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-04T00:00+01:00;2022-01-05T00:00+01:00;2022-01-04;1;7873;100,0;24;24;0;1;99,99;7402;470;119;131;203;17;17;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-04T00:00+01:00;2022-01-05T00:00+01:00;2022-01-04;2;7855;100,0;24;24;0;0;100,00;7409;446;106;123;205;12;12;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-04T00:00+01:00;2022-01-05T00:00+01:00;2022-01-04;Totalt i retning Kvaløya;7873;100,0;24;24;0;1;99,99;7402;470;119;131;203;17;17;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-04T00:00+01:00;2022-01-05T00:00+01:00;2022-01-04;Totalt i retning Tromsø;7855;100,0;24;24;0;0;100,00;7409;446;106;123;205;12;12;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-04T00:00+01:00;2022-01-05T00:00+01:00;2022-01-04;Totalt;15728;100,0;24;24;0;1;99,99;14811;916;225;254;408;29;29;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-05T00:00+01:00;2022-01-06T00:00+01:00;2022-01-05;1;8149;100,0;24;24;0;1;99,99;7672;476;131;124;208;13;13;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-05T00:00+01:00;2022-01-06T00:00+01:00;2022-01-05;2;8131;100,0;24;24;0;0;100,00;7663;468;124;122;211;11;11;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-05T00:00+01:00;2022-01-06T00:00+01:00;2022-01-05;Totalt i retning Kvaløya;8150;100,0;24;24;0;1;99,99;7672;477;131;125;208;13;13;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-05T00:00+01:00;2022-01-06T00:00+01:00;2022-01-05;Totalt i retning Tromsø;8130;100,0;24;24;0;0;100,00;7663;467;124;121;211;11;11;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-05T00:00+01:00;2022-01-06T00:00+01:00;2022-01-05;Totalt;16280;100,0;24;24;0;1;99,99;15335;944;255;246;419;24;24;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-06T00:00+01:00;2022-01-07T00:00+01:00;2022-01-06;1;8107;100,0;24;24;0;0;100,00;7656;451;114;119;207;11;11;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-06T00:00+01:00;2022-01-07T00:00+01:00;2022-01-06;2;8086;100,0;24;24;0;1;99,99;7617;468;127;121;212;8;8;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-06T00:00+01:00;2022-01-07T00:00+01:00;2022-01-06;Totalt i retning Kvaløya;8107;100,0;24;24;0;0;100,00;7656;451;114;119;207;11;11;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-06T00:00+01:00;2022-01-07T00:00+01:00;2022-01-06;Totalt i retning Tromsø;8086;100,0;24;24;0;1;99,99;7617;468;127;121;212;8;8;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-06T00:00+01:00;2022-01-07T00:00+01:00;2022-01-06;Totalt;16193;100,0;24;24;0;1;99,99;15273;919;241;240;419;19;19;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-07T00:00+01:00;2022-01-08T00:00+01:00;2022-01-07;1;8552;100,0;24;24;0;0;100,00;8108;444;101;129;206;8;8;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-07T00:00+01:00;2022-01-08T00:00+01:00;2022-01-07;2;8239;100,0;24;24;0;0;100,00;7790;449;101;133;206;9;9;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-07T00:00+01:00;2022-01-08T00:00+01:00;2022-01-07;Totalt i retning Kvaløya;8552;100,0;24;24;0;0;100,00;8108;444;101;129;206;8;8;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-07T00:00+01:00;2022-01-08T00:00+01:00;2022-01-07;Totalt i retning Tromsø;8239;100,0;24;24;0;0;100,00;7790;449;101;133;206;9;9;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-07T00:00+01:00;2022-01-08T00:00+01:00;2022-01-07;Totalt;16791;100,0;24;24;0;0;100,00;15898;893;202;262;412;17;17;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-08T00:00+01:00;2022-01-09T00:00+01:00;2022-01-08;1;5713;100,0;24;24;0;1;99,98;5525;187;29;56;101;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-08T00:00+01:00;2022-01-09T00:00+01:00;2022-01-08;2;5606;100,0;24;24;0;1;99,98;5418;187;23;58;104;2;2;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-08T00:00+01:00;2022-01-09T00:00+01:00;2022-01-08;Totalt i retning Kvaløya;5713;100,0;24;24;0;1;99,98;5526;186;28;56;101;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-08T00:00+01:00;2022-01-09T00:00+01:00;2022-01-08;Totalt i retning Tromsø;5606;100,0;24;24;0;1;99,98;5417;188;24;58;104;2;2;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-08T00:00+01:00;2022-01-09T00:00+01:00;2022-01-08;Totalt;11319;100,0;24;24;0;2;99,98;10943;374;52;114;205;3;3;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-09T00:00+01:00;2022-01-10T00:00+01:00;2022-01-09;1;5404;100,0;24;24;0;0;100,00;5229;175;33;52;88;2;2;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-09T00:00+01:00;2022-01-10T00:00+01:00;2022-01-09;2;5782;100,0;24;24;0;1;99,98;5605;176;26;64;86;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-09T00:00+01:00;2022-01-10T00:00+01:00;2022-01-09;Totalt i retning Kvaløya;5405;100,0;24;24;0;1;99,98;5229;175;33;52;88;2;2;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-09T00:00+01:00;2022-01-10T00:00+01:00;2022-01-09;Totalt i retning Tromsø;5781;100,0;24;24;0;0;100,00;5605;176;26;64;86;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-09T00:00+01:00;2022-01-10T00:00+01:00;2022-01-09;Totalt;11186;100,0;24;24;0;1;99,99;10834;351;59;116;174;2;2;0
